secret,cycles
1,9413
2,9413
3,9413
4,9413
5,9413
6,9413
7,9413
8,9413
9,9413
10,9413
11,9413
12,9413
13,9413
14,9413
15,9413
16,9413
17,9413
18,9413
19,9413
20,9413
21,9413
22,9413
23,9413
24,9413
25,9413
26,9413
27,9413
28,9413
29,9413
30,9413
31,9413
32,9413
33,9413
34,9413
35,9413
36,9413
37,9413
38,9413
39,9413
40,9413
41,9413
42,9413
43,9413
44,9413
45,9413
46,9413
47,9413
48,9413
49,9413
50,9413
51,9413
52,9413
53,9413
54,9413
55,9413
56,13707
57,13707
58,13707
59,13707
60,13707
61,13707
62,13707
63,13707
64,13707
65,13707
66,13707
67,13707
68,13707
69,13707
70,13707
71,13707
72,13707
73,13707
74,13707
75,13707
76,13707
77,13707
78,13707
79,13707
80,13707
81,13707
82,13707
83,13707
84,13707
85,13707
86,13707
87,13707
88,13707
89,13707
90,13707
91,13707
92,13707
93,13707
94,13707
95,13707
96,13707
97,13707
98,13707
99,13707
100,13707
101,13707
102,13707
103,13707
104,13707
105,13707
106,13707
107,13707
108,13707
109,13707
110,13707
111,13707
112,13707
113,13707
114,13707
115,13707
116,13707
117,13707
118,13707
119,13707
120,18001
121,18001
122,18001
123,18001
124,18001
125,18001
126,18001
127,18001
128,18001
129,18001
130,18001
131,18001
132,18001
133,18001
134,18001
135,18001
136,18001
137,18001
138,18001
139,18001
140,18001
141,18001
142,18001
143,18001
144,18001
145,18001
146,18001
147,18001
148,18001
149,18001
150,18001
151,18001
152,18001
153,18001
154,18001
155,18001
156,18001
157,18001
158,18001
159,18001
160,18001
161,18001
162,18001
163,18001
164,18001
165,18001
166,18001
167,18001
168,18001
169,18001
170,18001
171,18001
172,18001
173,18001
174,18001
175,18001
176,18001
177,18001
178,18001
179,18001
180,18001
181,18001
182,18001
183,18001
184,22295
185,22295
186,22295
187,22295
188,22295
189,22295
190,22295
191,22295
192,22295
193,22295
194,22295
195,22295
196,22295
197,22295
198,22295
199,22295
200,22295
201,22295
202,22295
203,22295
204,22295
205,22295
206,22295
207,22295
208,22295
209,22295
210,22295
211,22295
212,22295
213,22295
214,22295
215,22295
216,22295
217,22295
218,22295
219,22295
220,22295
221,22295
222,22295
223,22295
224,22295
225,22295
226,22295
227,22295
228,22295
229,22295
230,22295
231,22295
232,22295
233,22295
234,22295
235,22295
236,22295
237,22295
238,22295
239,22295
240,22295
241,22295
242,22295
243,22295
244,22295
245,22295
246,22295
247,22295
248,26589
249,26589
250,26589
251,26589
252,26589
253,26589
254,26589
255,26589
256,26589
257,26589
258,26589
259,26589
260,26589
261,26589
262,26589
263,26589
264,26589
265,26589
266,26589
267,26589
268,26589
269,26589
270,26589
271,26589
272,26589
273,26589
274,26589
275,26589
276,26589
277,26589
278,26589
279,26589
280,26589
281,26589
282,26589
283,26589
284,26589
285,26589
286,26589
287,26589
288,26589
289,26589
290,26589
291,26589
292,26589
293,26589
294,26589
295,26589
296,26589
297,26589
298,26589
299,26589
300,26589
301,26589
302,26589
303,26589
304,26589
305,26589
306,26589
307,26589
308,26589
309,26589
310,26589
311,26589
312,30883
313,30883
314,30883
315,30883
316,30883
317,30883
318,30883
319,30883
320,30883
321,30883
322,30883
323,30883
324,30883
325,30883
326,30883
327,30883
328,30883
329,30883
330,30883
331,30883
332,30883
333,30883
334,30883
335,30883
336,30883
337,30883
338,30883
339,30883
340,30883
341,30883
342,30883
343,30883
344,30883
345,30883
346,30883
347,30883
348,30883
349,30883
350,30883
351,30883
352,30883
353,30883
354,30883
355,30883
356,30883
357,30883
358,30883
359,30883
360,30883
361,30883
362,30883
363,30883
364,30883
365,30883
366,30883
367,30883
368,30883
369,30883
370,30883
371,30883
372,30883
373,30883
374,30883
375,30883
376,35177
377,35177
378,35177
379,35177
380,35177
381,35177
382,35177
383,35177
384,35177
385,35177
386,35177
387,35177
388,35177
389,35177
390,35177
391,35177
392,35177
393,35177
394,35177
395,35177
396,35177
397,35177
398,35177
399,35177
400,35177
401,35177
402,35177
403,35177
404,35177
405,35177
406,35177
407,35177
408,35177
409,35177
410,35177
411,35177
412,35177
413,35177
414,35177
415,35177
416,35177
417,35177
418,35177
419,35177
420,35177
421,35177
422,35177
423,35177
424,35177
425,35177
426,35177
427,35177
428,35177
429,35177
430,35177
431,35177
432,35177
433,35177
434,35177
435,35177
436,35177
437,35177
438,35177
439,35177
440,39471
441,39471
442,39471
443,39471
444,39471
445,39471
446,39471
447,39471
448,39471
449,39471
450,39471
451,39471
452,39471
453,39471
454,39471
455,39471
456,39471
457,39471
458,39471
459,39471
460,39471
461,39471
462,39471
463,39471
464,39471
465,39471
466,39471
467,39471
468,39471
469,39471
470,39471
471,39471
472,39471
473,39471
474,39471
475,39471
476,39471
477,39471
478,39471
479,39471
480,39471
481,39471
482,39471
483,39471
484,39471
485,39471
486,39471
487,39471
488,39471
489,39471
490,39471
491,39471
492,39471
493,39471
494,39471
495,39471
496,39471
497,39471
498,39471
499,39471
500,39471
501,39471
502,39471
503,39471
504,43765
505,43765
506,43765
507,43765
508,43765
509,43765
510,43765
511,43765
512,43765
513,43765
514,43765
515,43765
516,43765
517,43765
518,43765
519,43765
520,43765
521,43765
522,43765
523,43765
524,43765
525,43765
526,43765
527,43765
528,43765
529,43765
530,43765
531,43765
532,43765
533,43765
534,43765
535,43765
536,43765
537,43765
538,43765
539,43765
540,43765
541,43765
542,43765
543,43765
544,43765
545,43765
546,43765
547,43765
548,43765
549,43765
550,43765
551,43765
552,43765
553,43765
554,43765
555,43765
556,43765
557,43765
558,43765
559,43765
560,43765
561,43765
562,43765
563,43765
564,43765
565,43765
566,43765
567,43765
568,48059
569,48059
570,48059
571,48059
572,48059
573,48059
574,48059
575,48059
576,48059
577,48059
578,48059
579,48059
580,48059
581,48059
582,48059
583,48059
584,48059
585,48059
586,48059
587,48059
588,48059
589,48059
590,48059
591,48059
592,48059
593,48059
594,48059
595,48059
596,48059
597,48059
598,48059
599,48059
600,48059
601,48059
602,48059
603,48059
604,48059
605,48059
606,48059
607,48059
608,48059
609,48059
610,48059
611,48059
612,48059
613,48059
614,48059
615,48059
616,48059
617,48059
618,48059
619,48059
620,48059
621,48059
622,48059
623,48059
624,48059
625,48059
626,48059
627,48059
628,48059
629,48059
630,48059
631,48059
632,52353
633,52353
634,52353
635,52353
636,52353
637,52353
638,52353
639,52353
640,52353
641,52353
642,52353
643,52353
644,52353
645,52353
646,52353
647,52353
648,52353
649,52353
650,52353
651,52353
652,52353
653,52353
654,52353
655,52353
656,52353
657,52353
658,52353
659,52353
660,52353
661,52353
662,52353
663,52353
664,52353
665,52353
666,52353
667,52353
668,52353
669,52353
670,52353
671,52353
672,52353
673,52353
674,52353
675,52353
676,52353
677,52353
678,52353
679,52353
680,52353
681,52353
682,52353
683,52353
684,52353
685,52353
686,52353
687,52353
688,52353
689,52353
690,52353
691,52353
692,52353
693,52353
694,52353
695,52353
696,56647
697,56647
698,56647
699,56647
700,56647
701,56647
702,56647
703,56647
704,56647
705,56647
706,56647
707,56647
708,56647
709,56647
710,56647
711,56647
712,56647
713,56647
714,56647
715,56647
716,56647
717,56647
718,56647
719,56647
720,56647
721,56647
722,56647
723,56647
724,56647
725,56647
726,56647
727,56647
728,56647
729,56647
730,56647
731,56647
732,56647
733,56647
734,56647
735,56647
736,56647
737,56647
738,56647
739,56647
740,56647
741,56647
742,56647
743,56647
744,56647
745,56647
746,56647
747,56647
748,56647
749,56647
750,56647
751,56647
752,56647
753,56647
754,56647
755,56647
756,56647
757,56647
758,56647
759,56647
760,60941
761,60941
762,60941
763,60941
764,60941
765,60941
766,60941
767,60941
768,60941
769,60941
770,60941
771,60941
772,60941
773,60941
774,60941
775,60941
776,60941
777,60941
778,60941
779,60941
780,60941
781,60941
782,60941
783,60941
784,60941
785,60941
786,60941
787,60941
788,60941
789,60941
790,60941
791,60941
792,60941
793,60941
794,60941
795,60941
796,60941
797,60941
798,60941
799,60941
800,60941
801,60941
802,60941
803,60941
804,60941
805,60941
806,60941
807,60941
808,60941
809,60941
810,60941
811,60941
812,60941
813,60941
814,60941
815,60941
816,60941
817,60941
818,60941
819,60941
820,60941
821,60941
822,60941
823,60941
824,65235
825,65235
826,65235
827,65235
828,65235
829,65235
830,65235
831,65235
832,65235
833,65235
834,65235
835,65235
836,65235
837,65235
838,65235
839,65235
840,65235
841,65235
842,65235
843,65235
844,65235
845,65235
846,65235
847,65235
848,65235
849,65235
850,65235
851,65235
852,65235
853,65235
854,65235
855,65235
856,65235
857,65235
858,65235
859,65235
860,65235
861,65235
862,65235
863,65235
864,65235
865,65235
866,65235
867,65235
868,65235
869,65235
870,65235
871,65235
872,65235
873,65235
874,65235
875,65235
876,65235
877,65235
878,65235
879,65235
880,65235
881,65235
882,65235
883,65235
884,65235
885,65235
886,65235
887,65235
888,69529
889,69529
890,69529
891,69529
892,69529
893,69529
894,69529
895,69529
896,69529
897,69529
898,69529
899,69529
900,69529
901,69529
902,69529
903,69529
904,69529
905,69529
906,69529
907,69529
908,69529
909,69529
910,69529
911,69529
912,69529
913,69529
914,69529
915,69529
916,69529
917,69529
918,69529
919,69529
920,69529
921,69529
922,69529
923,69529
924,69529
925,69529
926,69529
927,69529
928,69529
929,69529
930,69529
931,69529
932,69529
933,69529
934,69529
935,69529
936,69529
937,69529
938,69529
939,69529
940,69529
941,69529
942,69529
943,69529
944,69529
945,69529
946,69529
947,69529
948,69529
949,69529
950,69529
951,69529
952,73823
953,73823
954,73823
955,73823
956,73823
957,73823
958,73823
959,73823
960,73823
961,73823
962,73823
963,73823
964,73823
965,73823
966,73823
967,73823
968,73823
969,73823
970,73823
971,73823
972,73823
973,73823
974,73823
975,73823
976,73823
977,73823
978,73823
979,73823
980,73823
981,73823
982,73823
983,73823
984,73823
985,73823
986,73823
987,73823
988,73823
989,73823
990,73823
991,73823
992,73823
993,73823
994,73823
995,73823
996,73823
997,73823
998,73823
999,73823
1000,73823
1001,73823
1002,73823
1003,73823
1004,73823
1005,73823
1006,73823
1007,73823
1008,73823
1009,73823
1010,73823
1011,73823
1012,73823
1013,73823
1014,73823
1015,73823
1016,78117
1017,78117
1018,78117
1019,78117
1020,78117
1021,78117
1022,78117
1023,78117
1024,78117
