secret,cycles
0,279931
1,279931
2,279931
3,279931
4,279931
5,279931
6,279931
7,279931
8,279931
9,279931
10,279931
11,279931
12,279931
13,279931
14,279931
15,279931
16,279931
17,279931
18,279931
19,279931
20,279931
21,279931
22,279931
23,279931
24,279931
25,279931
26,279931
27,279931
28,279931
29,279931
30,279931
31,279931
32,279931
33,279931
34,279931
35,279931
36,279931
37,279931
38,279931
39,279931
40,279931
41,279931
42,279931
43,279931
44,279931
45,279931
46,279931
47,279931
48,279931
49,279931
50,279931
51,279931
52,279931
53,279931
54,279931
55,279931
56,279931
57,279931
58,279931
59,279931
60,279931
61,279931
62,279931
63,279931
64,279931
65,279931
66,279931
67,279931
68,279931
69,279931
70,279931
71,279931
72,279931
73,279931
74,279931
75,279931
76,279931
77,279931
78,279931
79,279931
80,279931
81,279931
82,279931
83,279931
84,279931
85,279931
86,279931
87,279931
88,279931
89,279931
90,279931
91,279931
92,279931
93,279931
94,279931
95,279931
96,279931
97,279931
98,279931
99,279931
100,279931
101,279931
102,279931
103,279931
104,279931
105,279931
106,279931
107,279931
108,279931
109,279931
110,279931
111,279931
112,279931
113,279931
114,279931
115,279931
116,279931
117,279931
118,279931
119,279931
120,279931
121,279931
122,279931
123,279931
124,279931
125,279931
126,279931
127,279931
