secret,cycles,weight
L1,1,9834.7145
L2,1,9672.1610
L3,1,9512.2942
L4,1,9355.0699
L5,1,9200.4441
L6,1,9048.3742
L7,1,8898.8177
L8,1,8751.7332
L9,1,8607.0798
L10,1,8464.8172
L11,1,8324.9061
L12,1,8187.3075
L13,1,8051.9832
L14,1,7918.8957
L15,1,7788.0078
L16,1,7659.2834
L17,1,7532.6866
L18,1,7408.1822
L19,1,7285.7357
L20,1,7165.3131
L21,1,7046.8809
L22,1,6930.4062
L23,1,6815.8567
L24,1,6703.2005
L25,1,6592.4063
L26,1,6483.4434
L27,1,6376.2815
L28,1,6270.8909
L29,1,6167.2421
L30,1,6065.3066
L31,1,5965.0559
L32,1,5866.4622
L33,1,5769.4981
L34,1,5674.1367
L35,1,5580.3515
L36,1,5488.1164
L37,1,5397.4058
L38,1,5308.1945
L39,1,5220.4578
L40,1,5134.1712
L41,1,5049.3108
L42,1,4965.8530
L43,1,4883.7747
L44,1,4803.0530
L45,1,4723.6655
L46,1,4645.5902
L47,1,4568.8054
L48,1,4493.2896
L49,1,4419.0221
L50,1,4345.9821
L51,1,4274.1493
L52,1,4203.5038
L53,1,4134.0260
L54,1,4065.6966
L55,1,3998.4965
L56,2,3932.4072
L57,2,3867.4102
L58,2,3803.4876
L59,2,3740.6214
L60,2,3678.7944
L61,2,3617.9893
L62,2,3558.1892
L63,2,3499.3775
L64,2,3441.5379
L65,2,3384.6543
L66,2,3328.7108
L67,2,3273.6921
L68,2,3219.5827
L69,2,3166.3677
L70,2,3114.0322
L71,2,3062.5618
L72,2,3011.9421
L73,2,2962.1591
L74,2,2913.1989
L75,2,2865.0480
L76,2,2817.6929
L77,2,2771.1205
L78,2,2725.3179
L79,2,2680.2724
L80,2,2635.9714
L81,2,2592.4026
L82,2,2549.5540
L83,2,2507.4135
L84,2,2465.9696
L85,2,2425.2107
L86,2,2385.1255
L87,2,2345.7029
L88,2,2306.9318
L89,2,2268.8016
L90,2,2231.3016
L91,2,2194.4214
L92,2,2158.1508
L93,2,2122.4797
L94,2,2087.3982
L95,2,2052.8966
L96,2,2018.9652
L97,2,1985.5946
L98,2,1952.7756
L99,2,1920.4991
L100,2,1888.7560
L101,2,1857.5376
L102,2,1826.8352
L103,2,1796.6403
L104,2,1766.9445
L105,2,1737.7394
L106,2,1709.0171
L107,2,1680.7696
L108,2,1652.9889
L109,2,1625.6674
L110,2,1598.7975
L111,2,1572.3717
L112,2,1546.3826
L113,2,1520.8232
L114,2,1495.6862
L115,2,1470.9647
L116,2,1446.6518
L117,2,1422.7407
L118,2,1399.2249
L119,2,1376.0977
L120,3,1353.3528
L121,3,1330.9839
L122,3,1308.9846
L123,3,1287.3490
L124,3,1266.0710
L125,3,1245.1447
L126,3,1224.5643
L127,3,1204.3240
L128,3,1184.4183
L129,3,1164.8416
L130,3,1145.5884
L131,3,1126.6535
L132,3,1108.0316
L133,3,1089.7174
L134,3,1071.7060
L135,3,1053.9922
L136,3,1036.5713
L137,3,1019.4383
L138,3,1002.5884
L139,3,986.0171
L140,3,969.7197
L141,3,953.6916
L142,3,937.9285
L143,3,922.4259
L144,3,907.1795
L145,3,892.1852
L146,3,877.4387
L147,3,862.9359
L148,3,848.6728
L149,3,834.6455
L150,3,820.8500
L151,3,807.2825
L152,3,793.9393
L153,3,780.8167
L154,3,767.9109
L155,3,755.2184
L156,3,742.7358
L157,3,730.4594
L158,3,718.3860
L159,3,706.5121
L160,3,694.8345
L161,3,683.3499
L162,3,672.0551
L163,3,660.9470
L164,3,650.0225
L165,3,639.2786
L166,3,628.7123
L167,3,618.3206
L168,3,608.1006
L169,3,598.0496
L170,3,588.1647
L171,3,578.4432
L172,3,568.8824
L173,3,559.4796
L174,3,550.2322
L175,3,541.1377
L176,3,532.1934
L177,3,523.3971
L178,3,514.7461
L179,3,506.2381
L180,3,497.8707
L181,3,489.6416
L182,3,481.5485
